platform,impressions,clicks,conversions,engagement_rate,roi_percentage
Facebook,352886,39158,3098,10.18,10.54
Google Ads,86057,10583,2861,9.48,250.45
Facebook,25955,18158,458,3.66,88.91
TikTok,91184,33963,2603,11.3,209.82
Google Ads,404769,29526,1099,6.01,287.32
Facebook,117213,22708,3435,5.99,141.53
TikTok,11458,34229,315,11.19,60.7
Twitter/X,26814,44602,3975,7.08,239.06
Google Ads,239749,31573,3370,10.5,152.08
Twitter/X,157453,35435,1056,6.5,30.99
Twitter/X,316244,27152,3681,9.51,292.27
Google Ads,128324,24323,139,10.37,129.79
Google Ads,484626,7624,244,5.14,31.62
TikTok,221733,12784,2316,1.68,125.11
Instagram,187455,31759,3470,3.18,194.45
Google Ads,273134,43312,4395,12.67,148.85
Instagram,340381,6649,2664,3.24,203.08
TikTok,367228,41426,2720,3.89,156.21
Twitter/X,310891,48363,1059,7.59,242.13
Facebook,122283,35398,519,12.68,196.32
Google Ads,67122,26893,2425,9.55,41.51
Twitter/X,297193,36997,422,13.68,113.77
Facebook,35802,40438,1997,5.42,202.17
TikTok,334165,36886,1065,3.19,100.05
Twitter/X,327121,38697,1699,12.52,171.47
Twitter/X,243023,41670,4742,12.59,204.36
Twitter/X,152513,12629,410,11.47,94.15
Twitter/X,192958,17575,97,4.23,222.84
Twitter/X,161993,1597,1993,14.7,189.47
Facebook,355450,20622,4015,8.21,265.58
Google Ads,22424,6994,3484,8.67,43.22
Facebook,444479,49857,4433,7.83,202.71
Facebook,43830,35837,1523,14.5,27.99
TikTok,432198,11537,575,5.97,218.82
TikTok,291451,36806,4320,9.39,37.84
Google Ads,398640,29376,3879,9.99,71.45
Instagram,190207,19711,2318,12.54,67.5
TikTok,367261,33434,2643,4.66,164.33
Instagram,196961,32019,2628,8.33,128.76
Facebook,141356,27420,1576,2.05,217.18
Instagram,404749,16596,100,9.33,57.43
Google Ads,364140,9930,4143,4.4,185.04
Twitter/X,152072,30192,2835,2.18,55.75
TikTok,202320,2431,4067,12.51,137.97
Instagram,172916,3378,1617,3.74,223.51
Facebook,499694,18627,2832,13.64,293.01
Instagram,26124,45748,1759,2.24,96.0
Twitter/X,453141,12973,3702,6.19,146.93
Instagram,208962,16747,2469,13.12,284.58
Facebook,186482,45190,3417,14.82,285.81
Facebook,367800,13954,1861,6.4,115.17
Facebook,142920,29870,1803,1.68,77.76
Twitter/X,351927,12256,2094,8.71,247.11
Twitter/X,337535,9740,2390,9.86,210.31
Twitter/X,46596,40408,2272,4.56,45.29
Twitter/X,381720,22813,2242,2.26,299.23
Facebook,77584,39842,4906,4.84,96.4
TikTok,180110,29365,936,7.74,262.92
Facebook,371674,25063,479,8.83,212.91
Twitter/X,46116,21826,409,6.58,295.01
Google Ads,355674,14027,858,3.35,221.42
Facebook,342275,1432,2306,12.64,77.49
Twitter/X,476550,6951,2652,9.08,48.76
Facebook,286026,1261,3190,8.73,71.04
Twitter/X,443441,9863,1622,6.73,207.2
Facebook,295343,47479,1442,8.49,133.52
TikTok,158563,40397,3753,13.29,120.36
Instagram,439339,34780,1274,8.84,57.59
Twitter/X,239155,43197,1459,7.09,234.78
TikTok,425167,14136,1315,4.57,101.85
Instagram,122881,30285,2850,8.71,173.39
Instagram,426878,37967,4144,2.59,227.78
Instagram,257703,11835,4173,2.78,72.32
Instagram,318511,41764,3077,14.71,148.03
Facebook,84824,4891,1658,12.99,129.64
TikTok,355237,46778,1906,4.76,71.96
Facebook,424502,47082,4378,3.06,63.58
TikTok,339734,2298,3244,3.52,94.78
Facebook,82256,16486,1795,12.97,257.44
TikTok,391395,42540,4535,11.42,158.46
Instagram,374297,39731,3920,11.23,140.77
Twitter/X,429620,30411,4426,1.82,154.89
Google Ads,422991,30414,1949,4.64,14.01
TikTok,337862,28621,4735,13.8,253.24
Facebook,130495,6646,4798,8.26,217.71
TikTok,293801,1644,3795,12.46,294.59
TikTok,390169,29090,2517,8.65,55.81
TikTok,183424,40669,2001,10.38,97.26
TikTok,294533,1339,2935,1.87,259.05
Google Ads,458911,24524,4423,3.78,242.83
Instagram,346612,16572,2748,14.75,140.4
Facebook,116608,28135,1332,7.24,134.68
Facebook,396905,18038,4031,7.11,116.41
Twitter/X,410487,49769,3798,9.2,101.84
Instagram,247333,28053,3388,9.75,88.05
Google Ads,175254,26595,1394,9.84,212.59
Twitter/X,37155,42404,2541,2.28,81.98
Facebook,250276,8329,4270,4.13,141.35
TikTok,429840,38440,552,1.68,10.28
TikTok,141597,43775,682,3.67,107.36
TikTok,17413,11155,147,10.36,170.77
Twitter/X,359488,25302,2312,8.6,81.0
Facebook,119506,29522,3538,10.91,10.43
Instagram,124855,13004,314,5.4,47.49
TikTok,178477,43320,4910,9.53,86.13
Facebook,438147,46594,351,6.83,220.71
Twitter/X,76274,38634,4705,2.15,167.17
Twitter/X,157372,37176,4396,11.93,158.64
Twitter/X,343860,13397,1354,1.97,263.03
Instagram,135552,16747,2717,9.37,275.81
Twitter/X,212886,44100,3114,7.73,22.53
Facebook,499973,30974,4576,12.64,45.46
Facebook,262294,28585,4054,14.08,256.31
Facebook,92224,18430,2236,13.83,83.99
Instagram,428310,38674,4033,12.31,218.22
TikTok,378579,38346,3447,2.21,19.66
Twitter/X,357548,31374,4837,3.06,271.21
TikTok,473658,35922,4112,5.75,39.54
Google Ads,101391,39061,4668,11.37,55.15
Instagram,170728,21248,3735,6.32,49.85
Google Ads,100638,42761,2911,13.33,170.19
Twitter/X,89774,5149,981,8.91,296.05
Google Ads,129889,11466,2208,3.19,28.37
Twitter/X,403727,11419,4510,2.06,188.44
Facebook,247502,14377,2008,7.45,281.14
